name,ttm,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"347,945,000,000","96,145,000,000","88,912,000,000","75,452,000,000","87,436,000,000","69,981,000,000","63,404,000,000","59,700,000,000","72,383,000,000","56,576,000,000","52,886,000,000","51,042,000,000","60,453,000,000","43,744,000,000","37,955,000,000","35,714,000,000","43,741,000,000","32,714,000,000","30,404,000,000","29,128,000,000","35,747,000,000","25,358,000,000","23,185,000,000","22,717,000,000","29,329,000,000","20,579,000,000","19,340,000,000","19,741,000,000","25,587,000,000","17,092,000,000","15,704,000,000","16,070,000,000","21,268,000,000","13,806,000,000","12,834,000,000","13,185,000,000","17,431,000,000","10,876,000,000","9,913,000,000","9,857,000,000","12,947,000,000","7,560,000,000","6,566,000,000","7,131,000,000","9,520,000,000","5,449,000,000","4,651,000,000","4,889,000,000","6,703,000,000","4,264,000,000","4,063,000,000","4,135,000,000","5,672,000,000","3,262,000,000","2,886,000,000","3,015,000,000","3,986,000,000","2,307,000,000","2,139,000,000","2,279,000,000","2,977,000,000","1,858,000,000","1,753,000,000","1,902,000,000","2,540,959,000","1,462,475,000","1,387,341,000","1,530,349,000","1,945,772,000","1,134,456,000","1,099,912,000","1,083,559,000","1,428,610,000","851,299,000","805,605,000","847,422,000","1,115,171,000","639,281,000","667,625,000","700,356,000","972,360,000","637,858,000","577,876,000","573,889,000","676,042,000","355,777,000","314,377,000","293,643,000","252,893,000","153,698,000","115,977,000","87,375,000","66,100,000","37,900,000","27,900,000","16,000,000","8,400,000","4,200,000","2,200,000","900,000"
	OperatingRevenue,"347,945,000,000","96,145,000,000","88,912,000,000","75,452,000,000","87,436,000,000","69,981,000,000","63,404,000,000","59,700,000,000","72,383,000,000","56,576,000,000","52,886,000,000","51,042,000,000","60,453,000,000","43,744,000,000","37,955,000,000","35,714,000,000","43,741,000,000","32,714,000,000","30,404,000,000","29,128,000,000","35,747,000,000","25,358,000,000","23,185,000,000","22,717,000,000","29,329,000,000","20,579,000,000","19,340,000,000","19,741,000,000","25,587,000,000","17,092,000,000","15,704,000,000","16,070,000,000","21,268,000,000","13,806,000,000","12,834,000,000","13,185,000,000","17,431,000,000","10,876,000,000","9,913,000,000","9,857,000,000","12,947,000,000","7,560,000,000","6,566,000,000","7,131,000,000","9,520,000,000","5,449,000,000","4,651,000,000","4,889,000,000","6,703,000,000","4,264,000,000","4,063,000,000","4,135,000,000","5,672,000,000","3,262,000,000","2,886,000,000","3,015,000,000","3,986,000,000","2,307,000,000","2,139,000,000","2,279,000,000","2,977,000,000","1,858,000,000","1,753,000,000","1,902,000,000","2,540,959,000","1,462,475,000","1,387,341,000","1,530,349,000","1,945,772,000","1,134,456,000","1,099,912,000","1,083,559,000","1,428,610,000","851,299,000","805,605,000","847,422,000","1,115,171,000","639,281,000","667,625,000","700,356,000","972,360,000","637,858,000","577,876,000","573,889,000","676,042,000","355,777,000","314,377,000","293,643,000","252,893,000","153,698,000","115,977,000","87,375,000","66,100,000","37,900,000","27,900,000","16,000,000","8,400,000","4,200,000","2,200,000","900,000"
CostOfRevenue,"260,235,000,000","71,811,000,000","66,466,000,000","55,788,000,000","66,169,000,000","51,469,000,000","45,608,000,000","42,521,000,000","54,814,000,000","41,278,000,000","38,564,000,000","38,527,000,000","47,469,000,000","33,969,000,000","28,609,000,000","27,137,000,000","34,678,000,000","25,595,000,000","23,058,000,000","22,553,000,000","28,886,000,000","19,985,000,000","18,036,000,000","18,154,000,000","24,096,000,000","17,270,000,000","15,781,000,000","16,372,000,000","21,724,000,000","14,400,000,000","13,046,000,000","13,597,000,000","22,556,000,000","10,319,000,000","9,488,000,000","10,027,000,000","13,831,000,000","8,325,000,000","7,525,000,000","7,608,000,000","10,317,000,000","5,786,000,000","4,957,000,000","5,501,000,000","7,543,000,000","4,176,000,000","3,518,000,000","3,741,000,000","5,355,000,000","3,265,000,000","3,096,000,000","3,179,000,000","4,502,000,000","2,500,000,000","2,185,000,000","2,296,000,000","3,136,000,000","1,758,000,000","1,630,000,000","1,735,000,000","2,310,000,000","1,395,000,000","1,303,000,000","1,444,000,000","1,996,493,000","1,106,824,000","1,046,295,000","1,169,515,000","1,518,935,000","848,635,000","825,984,000","812,977,000","1,093,451,000","635,132,000","587,438,000","624,297,000","841,122,000","477,089,000","487,905,000","517,759,000","748,060,000","470,579,000","441,812,000","445,755,000","588,196,000","285,300,000","246,846,000","228,852,000","199,476,000","118,823,000","89,786,000","68,054,000","51,400,000","29,300,000","21,700,000","11,800,000",,,,
GrossProfit,"87,710,000,000","24,334,000,000","22,446,000,000","19,664,000,000","21,267,000,000","18,512,000,000","17,796,000,000","17,179,000,000","17,569,000,000","15,298,000,000","14,322,000,000","12,515,000,000","12,984,000,000","9,775,000,000","9,346,000,000","8,577,000,000","9,063,000,000","7,119,000,000","7,346,000,000","6,575,000,000","6,861,000,000","5,373,000,000","5,149,000,000","4,563,000,000","5,233,000,000","3,309,000,000","3,559,000,000","3,369,000,000","3,863,000,000","2,692,000,000","2,658,000,000","2,473,000,000","-1,288,000,000","3,487,000,000","3,346,000,000","3,158,000,000","3,600,000,000","2,551,000,000","2,388,000,000","2,249,000,000","2,630,000,000","1,774,000,000","1,609,000,000","1,630,000,000","1,977,000,000","1,273,000,000","1,133,000,000","1,148,000,000","1,348,000,000","999,000,000","967,000,000","956,000,000","1,170,000,000","762,000,000","701,000,000","719,000,000","850,000,000","549,000,000","509,000,000","544,000,000","667,000,000","463,000,000","450,000,000","458,000,000","544,466,000","355,651,000","341,046,000","360,834,000","426,837,000","285,821,000","273,928,000","270,582,000","335,159,000","216,167,000","218,167,000","223,125,000","274,049,000","162,192,000","179,720,000","182,597,000","224,300,000","167,279,000","136,064,000","128,134,000","87,846,000","70,477,000","67,531,000","64,791,000","53,417,000","34,875,000","26,191,000","19,321,000","14,700,000","8,600,000","6,200,000","4,200,000",,,,
OperatingExpense,"67,805,000,000","18,140,000,000","16,603,000,000","15,675,000,000","17,388,000,000","15,355,000,000","14,712,000,000","12,759,000,000","13,783,000,000","11,574,000,000","11,339,000,000","10,588,000,000","10,857,000,000","9,428,000,000","8,718,000,000","7,572,000,000","7,808,000,000","6,544,000,000","6,061,000,000","5,504,000,000","5,752,000,000","4,967,000,000","4,685,000,000","4,308,000,000","4,643,000,000","3,853,000,000","3,574,000,000","3,223,000,000","3,353,000,000","2,717,000,000","2,579,000,000","2,292,000,000","-1,693,000,000","3,515,000,000","3,239,000,000","2,920,000,000","3,298,000,000","2,435,000,000","2,146,000,000","1,894,000,000","2,127,000,000","1,480,000,000","1,314,000,000","1,236,000,000","1,399,000,000","1,022,000,000","974,000,000","904,000,000","1,099,000,000","845,000,000","750,000,000","758,000,000","890,000,000","639,000,000","585,000,000","574,000,000","643,000,000","509,000,000","462,000,000","441,000,000","502,000,000","408,000,000","346,000,000","350,000,000","382,024,000","274,377,000","254,772,000","250,399,000","289,081,000","233,890,000","232,105,000","231,357,000","269,794,000","189,055,000","216,695,000","211,377,000","254,843,000","228,532,000","260,910,000","399,205,000","562,655,000","319,003,000","313,992,000","324,007,000","491,937,000","161,464,000","139,452,000","95,386,000","121,411,000","55,869,000","43,187,000","28,195,000","24,400,000","17,800,000","13,200,000","7,400,000",,,,
	SellingGeneralAndAdministration,"26,888,000,000","7,102,000,000","5,925,000,000","6,280,000,000","7,583,000,000","6,100,000,000","5,561,000,000","4,837,000,000","6,029,000,000","4,344,000,000","4,012,000,000","3,766,000,000","4,484,000,000","3,439,000,000","3,103,000,000","2,715,000,000","3,230,000,000","2,377,000,000","2,126,000,000","1,933,000,000","2,148,000,000","1,727,000,000","1,617,000,000","1,510,000,000","1,968,000,000","1,399,000,000","1,320,000,000","1,197,000,000","1,451,000,000","972,000,000","961,000,000","878,000,000","-3,076,000,000","2,280,000,000","2,125,000,000","1,975,000,000","2,436,000,000","1,666,000,000","1,448,000,000","1,315,000,000","1,609,000,000","1,038,000,000","906,000,000","1,210,000,000","239,000,000","1,013,000,000","914,000,000","893,000,000","789,000,000","574,000,000","537,000,000","524,000,000","668,000,000","430,000,000","384,000,000","388,000,000","466,000,000","337,000,000","295,000,000","292,000,000","94,000,000","368,000,000","238,000,000","257,000,000","317,167,000","209,554,000","196,297,000","195,323,000","237,129,000","179,329,000","179,057,000","180,357,000","219,833,000","134,936,000","157,156,000","153,901,000","164,981,000","132,851,000","145,370,000","163,830,000","213,343,000","168,650,000","166,447,000","179,808,000","219,819,000","116,856,000","105,164,000","71,909,000","53,958,000","42,495,000","29,714,000","21,466,000","18,200,000","12,800,000","9,500,000","5,100,000",,,,
		GeneralAndAdministrativeExpense,"6,112,000,000","1,668,000,000","1,580,000,000","1,452,000,000","1,412,000,000","1,348,000,000","1,270,000,000","1,173,000,000","1,117,000,000","1,041,000,000","1,111,000,000","1,067,000,000","1,044,000,000","960,000,000","874,000,000","795,000,000","717,000,000","639,000,000","580,000,000","497,000,000","390,000,000","463,000,000","467,000,000","427,000,000","442,000,000","406,000,000","377,000,000","327,000,000","319,000,000","278,000,000","286,000,000","246,000,000","-3,927,000,000","1,740,000,000","1,588,000,000","1,495,000,000","1,843,000,000","1,296,000,000","1,107,000,000","988,000,000","1,233,000,000","797,000,000","695,000,000","1,009,000,000","-35,000,000","864,000,000","785,000,000","765,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"448,162,000","17,866,000","42,573,000",,"21,512,000","18,914,000","25,129,000","28,944,000","27,120,000","30,308,000","36,634,000","39,697,000","39,891,000","30,301,000","19,215,000","11,165,000","5,457,000","4,978,000","3,262,000","1,963,000",,,,,,,,
			OtherGandA,"6,112,000,000","1,668,000,000","1,580,000,000","1,452,000,000","1,412,000,000","1,348,000,000","1,270,000,000","1,173,000,000","1,117,000,000","1,041,000,000","1,111,000,000","1,067,000,000","1,044,000,000","960,000,000","874,000,000","795,000,000","717,000,000","639,000,000","580,000,000","497,000,000","390,000,000","463,000,000","467,000,000","427,000,000","442,000,000","406,000,000","377,000,000","327,000,000","319,000,000","278,000,000","286,000,000","246,000,000","-3,927,000,000","1,740,000,000","1,588,000,000","1,495,000,000","1,843,000,000","1,296,000,000","1,107,000,000","988,000,000","1,233,000,000","797,000,000","695,000,000","1,009,000,000","-35,000,000","864,000,000","785,000,000","765,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"448,162,000","17,866,000","42,573,000",,"21,512,000","18,914,000","25,129,000","28,944,000","27,120,000","30,308,000","36,634,000","39,697,000","39,891,000","30,301,000","19,215,000","11,165,000","5,457,000","4,978,000","3,262,000","1,963,000",,,,,,,,
		SellingAndMarketingExpense,"20,776,000,000","5,434,000,000","4,345,000,000","4,828,000,000","6,171,000,000","4,752,000,000","4,291,000,000","3,664,000,000","4,912,000,000","3,303,000,000","2,901,000,000","2,699,000,000","3,440,000,000","2,479,000,000","2,229,000,000","1,920,000,000","2,513,000,000","1,738,000,000","1,546,000,000","1,436,000,000","1,758,000,000","1,264,000,000","1,150,000,000","1,083,000,000","1,526,000,000","993,000,000","943,000,000","870,000,000","1,132,000,000","694,000,000","675,000,000","632,000,000","851,000,000","540,000,000","537,000,000","480,000,000","593,000,000","370,000,000","341,000,000","327,000,000","376,000,000","241,000,000","211,000,000","201,000,000","274,000,000","149,000,000","129,000,000","128,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"-228,329,000","117,070,000","114,583,000",,"143,469,000","113,937,000","120,241,000","134,886,000","186,223,000","138,342,000","129,813,000","140,111,000","179,928,000","86,555,000","85,949,000","60,744,000","48,501,000","37,517,000","26,452,000","19,503,000",,,,,,,,
	ResearchAndDevelopment,"40,431,000,000","10,976,000,000","10,388,000,000","9,325,000,000","9,740,000,000","9,200,000,000","9,065,000,000","7,927,000,000","7,669,000,000","7,162,000,000","7,247,000,000","6,759,000,000","6,314,000,000","5,944,000,000","5,549,000,000","4,813,000,000","4,544,000,000","4,135,000,000","3,880,000,000","3,526,000,000","3,569,000,000","3,197,000,000","3,020,000,000","2,754,000,000","2,636,000,000","2,423,000,000","2,226,000,000","1,991,000,000","1,862,000,000","1,734,000,000","1,586,000,000","1,383,000,000","1,345,000,000","1,192,000,000","1,082,000,000","945,000,000","862,000,000","769,000,000","698,000,000","579,000,000","518,000,000","442,000,000","408,000,000",,,,,,"278,000,000","264,000,000","258,000,000","234,000,000","222,000,000","209,000,000","201,000,000","186,000,000","177,000,000","172,000,000","167,000,000","146,000,000",,,"106,000,000","92,000,000","72,821,000","64,823,000","58,475,000","55,076,000","51,811,000","53,775,000","52,135,000","50,088,000","49,048,000","52,907,000","58,165,000","55,497,000","52,325,000","53,846,000","64,710,000","70,284,000","69,791,000","71,159,000","67,132,000","61,244,000","57,424,000","44,608,000","34,288,000","23,477,000","17,281,000","13,374,000","8,060,000","6,729,000","4,500,000","3,600,000","2,800,000","1,600,000",,,,
