name,ttm,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012
TotalRevenue,"5,804,033,000","1,012,328,000","801,523,000","2,208,599,000","1,781,583,000","1,662,022,000","1,634,194,000","1,998,071,000","1,640,958,000","1,504,742,000","1,524,708,000","1,944,272,000","1,444,572,000","1,368,980,000","1,352,219,000","1,692,304,000","1,349,047,000","1,260,716,000","1,288,884,000","1,548,683,000","1,238,669,000","1,151,573,000","1,190,919,000","1,496,542,000","1,166,108,000","1,051,126,000","1,135,858,000","1,344,663,000","1,072,855,000","971,480,000","1,072,989,000","1,327,956,000","975,852,000","871,740,000","989,956,000"
	OperatingRevenue,"5,784,210,000","1,009,882,000","797,996,000","2,201,383,000","1,774,949,000","1,656,363,000","1,628,547,000","1,991,483,000","1,634,489,000","1,498,633,000","1,518,446,000","1,936,829,000","1,438,167,000","1,363,224,000","1,346,546,000","1,685,716,000","1,342,600,000","1,255,053,000","1,282,670,000","1,540,770,000","1,230,886,000","1,144,218,000","1,183,059,000","1,485,362,000","1,157,292,000","1,043,581,000","1,128,269,000","1,334,277,000","1,064,502,000","963,711,000","1,065,013,000","1,316,882,000","967,894,000","864,181,000","982,422,000"
CostOfRevenue,"3,626,735,000","547,550,000","782,184,000","1,274,089,000","1,022,912,000","970,421,000","961,318,000","1,155,954,000","942,009,000","877,474,000","892,682,000","1,122,908,000","831,728,000","808,126,000","796,396,000","981,211,000","789,858,000","757,622,000","768,681,000","909,211,000","741,584,000","695,915,000","712,930,000","858,740,000","698,590,000","645,027,000","698,461,000","778,347,000","649,637,000","600,320,000","667,653,000","772,301,000","594,389,000","543,549,000","619,885,000"
GrossProfit,"2,177,298,000","464,778,000","19,339,000","934,510,000","758,671,000","691,601,000","672,876,000","842,117,000","698,949,000","627,268,000","632,026,000","821,364,000","612,844,000","560,854,000","555,823,000","711,093,000","559,189,000","503,094,000","520,203,000","639,472,000","497,085,000","455,658,000","477,989,000","637,802,000","467,518,000","406,099,000","437,397,000","566,316,000","423,218,000","371,160,000","405,336,000","555,655,000","381,463,000","328,191,000","370,071,000"
OperatingExpense,"2,372,155,000","546,002,000","539,379,000","650,405,000","636,370,000","584,104,000","568,019,000","589,875,000","591,890,000","536,000,000","518,857,000","578,810,000","531,030,000","485,896,000","468,868,000","508,648,000","497,544,000","451,715,000","448,930,000","467,239,000","459,391,000","423,352,000","419,834,000","470,408,000","439,297,000","390,575,000","388,229,000","416,063,000","404,220,000","368,004,000","371,696,000","413,513,000","375,819,000","343,075,000","347,062,000"
	SellingGeneralAndAdministration,"2,155,643,000","491,598,000","485,088,000","595,316,000","583,641,000","531,843,000","517,378,000","533,192,000","538,120,000","479,077,000","468,348,000","525,254,000","480,194,000","437,196,000","420,856,000","461,692,000","451,072,000","407,102,000","403,385,000","422,227,000","416,205,000","381,606,000","377,679,000","427,169,000","396,713,000","350,026,000","347,021,000","374,178,000","363,149,000","326,757,000","327,704,000","367,475,000","334,975,000","303,096,000","307,137,000"
		GeneralAndAdministrativeExpense,,,,,,,"498,678,000",,,,"451,348,000","503,554,000","461,594,000","421,196,000","405,956,000","442,092,000","434,072,000","391,902,000","387,085,000","403,427,000","400,505,000","368,506,000","364,779,000","408,569,000","381,713,000","339,226,000","326,921,000","343,367,000","337,192,000","317,883,000","310,068,000","338,385,000","308,475,000","292,939,000","289,359,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182,841,000","173,675,000","164,967,000","164,761,000","173,889,000","161,839,000","154,687,000","156,194,000"
			RentAndLandingFees,,,,,,,"10,500,000",,,,,,,,,,,,,,,,,,,,,"109,466,000","115,695,000","111,471,000","103,638,000","110,454,000","106,464,000","104,458,000","96,981,000"
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,442,000","8,959,000","9,078,000","8,706,000","12,635,000","6,978,000","6,295,000","6,327,000"
			OtherGandA,,,,,,,"488,178,000",,,,"451,348,000","503,554,000","461,594,000","421,196,000","405,956,000","442,092,000","434,072,000","391,902,000","387,085,000","403,427,000","400,505,000","368,506,000","364,779,000","408,569,000","381,713,000","339,226,000","326,921,000","41,618,000","38,863,000","32,367,000","32,963,000","41,407,000","33,194,000","27,499,000","29,857,000"
		SellingAndMarketingExpense,,,,,,,"18,700,000",,,,"17,000,000","21,700,000","18,600,000","16,000,000","14,900,000","19,600,000","17,000,000","15,200,000","16,300,000","18,800,000","15,700,000","13,100,000","12,900,000","18,600,000","15,000,000","10,800,000","20,100,000","30,811,000","25,957,000","8,874,000","17,636,000","29,090,000","26,500,000","10,157,000","17,778,000"
	DepreciationAmortizationDepletionIncomeStatement,"216,512,000","54,404,000","54,291,000","55,089,000","52,729,000","52,261,000","50,641,000","56,683,000","53,770,000","56,923,000","50,509,000","53,556,000","50,836,000","48,700,000","48,012,000","46,956,000","46,472,000","44,613,000","45,545,000","45,012,000","43,186,000","41,746,000","42,155,000","43,239,000","42,584,000","40,549,000","41,208,000","41,885,000","41,071,000","41,247,000","43,992,000","46,038,000","40,844,000","39,979,000","39,925,000"
		DepreciationAndAmortizationInIncomeStatement,"216,512,000","54,404,000","54,291,000","55,089,000","52,729,000","52,261,000","50,641,000","56,683,000","53,770,000","56,923,000","50,509,000","53,556,000","50,836,000","48,700,000","48,012,000","46,956,000","46,472,000","44,613,000","45,545,000","45,012,000","43,186,000","41,746,000","42,155,000","43,239,000","42,584,000","40,549,000","41,208,000","41,885,000","41,071,000","41,247,000","43,992,000","46,038,000","40,844,000","39,979,000","39,925,000"
OperatingIncome,"-194,857,000","-81,224,000","-520,040,000","284,105,000","122,301,000","107,497,000","104,857,000","252,242,000","107,059,000","91,268,000","113,169,000","242,554,000","81,814,000","74,958,000","86,955,000","202,445,000","61,645,000","51,379,000","71,273,000","172,233,000","37,694,000","32,306,000","58,155,000","167,394,000","28,221,000","15,524,000","49,168,000","150,253,000","18,998,000","3,156,000","33,640,000","142,142,000","5,644,000","-14,884,000","23,009,000"
NetNonOperatingInterestIncomeExpense,"-71,425,000","-28,359,000","-19,045,000","-11,872,000","-12,149,000","-13,442,000","-12,989,000","-12,427,000","-16,878,000","-14,660,000","-14,521,000","-17,630,000","-15,351,000","-14,544,000","-13,514,000","-12,965,000","-13,159,000","-16,430,000","-14,952,000","-14,807,000","-14,792,000","-14,586,000","-15,062,000","-15,505,000","-17,213,000","-26,463,000","-26,976,000","-28,453,000","-43,225,000","-35,930,000","-43,159,000","-30,348,000","-27,552,000","-30,723,000","-29,479,000"
	InterestExpenseNonOperating,"67,073,000","28,359,000","14,693,000","11,872,000","12,149,000","13,435,000","13,371,000","12,427,000","14,460,000","14,581,000","14,521,000","15,368,000","15,351,000","14,544,000","13,514,000","12,965,000","13,159,000","15,084,000","14,952,000","14,807,000","14,792,000","14,598,000","14,803,000","15,023,000","16,624,000","25,546,000","26,552,000","27,390,000","32,719,000","33,327,000","34,304,000","29,398,000","27,421,000","27,629,000","29,479,000"
	TotalOtherFinanceCost,"4,352,000",,"4,352,000","0",,"7,000","-382,000","0","2,418,000","79,000",,"2,262,000",,,,"0",,"1,346,000",,"0",,"-12,000","259,000","482,000","589,000","917,000","424,000","1,063,000","10,506,000","2,603,000","8,855,000","950,000","131,000","3,094,000",
OtherIncomeExpense,"8,205,000","-253,000","-2,000","-801,000","9,264,000","1,663,000","2,092,000","-3,554,000","1,874,000","2,661,000","1,351,000","-2,091,000","1,336,000","2,650,000","1,843,000","1,052,000","1,367,000","-2,266,000","3,824,000","-2,733,000","1,356,000","866,000","-1,752,000","2,573,000","-69,231,000","176,000","-2,632,000","-17,023,000","-308,000","-6,463,000","872,000","-8,021,000","257,000","-1,694,000","813,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,"-11,000","-26,000","-42,000","-63,000","-81,000","-106,000","-178,000","-236,000","-248,000","-324,000","-335,000","-460,000","-521,000","-628,000","-963,000","-828,000","-1,387,000","-1,768,000","-7,263,000",,,,,
	SpecialIncomeCharges,"-7,518,000","-1,077,000","-2,126,000","-4,315,000","0","0",,"-6,844,000","-462,000","-1,361,000",,"-4,020,000","0","-988,000","0","-2,341,000","0","-3,805,000","-109,000","-4,208,000","0","-188,000","-2,364,000","-2,090,000","-70,308,000","-829,000","-3,700,000","-18,267,000","-243,000","-1,259,000","-1,676,000","-9,806,000","-1,656,000","-3,807,000","-1,491,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-8,000","0","554,000","1,625,000","558,000","635,000","328,000","1,478,000"
		ImpairmentOfCapitalAssets,"7,316,000","1,077,000","1,924,000","4,315,000",,,,"6,844,000","0","0",,"1,139,000","0","988,000","0","2,341,000","0","0","109,000","4,208,000","0","188,000","1,715,000","1,726,000","6,000","829,000","19,000","2,798,000","243,000","88,000","51,000","10,439,000","1,021,000","66,000","13,000"
		OtherSpecialCharges,,,"202,000",,,,,"0","462,000","1,361,000",,"2,881,000",,,,"0",,"3,805,000",,"0",,,"649,000","364,000","70,302,000",,"3,681,000","15,477,000",,"617,000",,"-1,191,000",,"3,413,000",
	OtherNonOperatingIncomeExpenses,"15,723,000","824,000","2,124,000","3,514,000","9,264,000","1,663,000","2,092,000","3,290,000","2,336,000","4,022,000","1,351,000","1,940,000","1,362,000","3,680,000","1,906,000","3,474,000","1,473,000","1,717,000","4,169,000","1,723,000","1,680,000","1,389,000","1,072,000","5,184,000","1,705,000","1,968,000","1,896,000","2,631,000","1,703,000","2,059,000","2,548,000","1,785,000","1,913,000","2,113,000","2,304,000"
PretaxIncome,"-258,077,000","-109,836,000","-539,087,000","271,432,000","119,416,000","95,718,000","93,960,000","236,261,000","92,055,000","79,269,000","99,999,000","222,833,000","67,799,000","63,064,000","75,284,000","190,532,000","49,853,000","32,683,000","60,145,000","154,693,000","24,258,000","18,586,000","41,341,000","154,462,000","-58,223,000","-10,763,000","19,560,000","104,777,000","-24,535,000","-39,237,000","-8,647,000","103,773,000","-21,651,000","-47,301,000","-5,657,000"
TaxProvision,"-180,352,000","-63,055,000","-205,359,000","65,107,000","22,957,000","11,151,000","16,195,000","51,910,000","15,206,000","8,312,000","17,411,000","-17,870,000","22,920,000","16,162,000","22,916,000","64,971,000","17,449,000","12,289,000","22,631,000","55,920,000","9,142,000","7,686,000","15,646,000","59,597,000","-24,009,000","-4,293,000","7,786,000","41,193,000","-7,678,000","-14,223,000","-3,084,000","35,828,000","-14,204,000","-16,044,000","-1,717,000"
NetIncomeCommonStockholders,"-77,725,000","-46,781,000","-333,728,000","206,325,000","96,459,000","84,567,000","77,765,000","184,351,000","76,849,000","70,957,000","82,588,000","240,703,000","44,879,000","46,902,000","52,368,000","125,561,000","32,404,000","20,394,000","37,514,000","98,773,000","15,116,000","10,900,000","25,695,000","94,865,000","-34,214,000","-6,470,000","11,774,000","63,584,000","-45,234,000","-66,947,000","-46,535,000","27,197,000","-43,883,000","-66,807,000","-38,129,000"
	NetIncome,"-77,725,000","-46,781,000","-333,728,000","206,325,000","96,459,000","84,567,000","77,765,000","184,351,000","76,849,000","70,957,000","82,588,000","240,703,000","44,879,000","46,902,000","52,368,000","125,561,000","32,404,000","20,394,000","37,514,000","98,773,000","15,116,000","10,900,000","25,695,000","94,865,000","-34,214,000","-6,470,000","11,774,000","63,584,000","-16,857,000","-25,014,000","-5,563,000","67,945,000","-7,447,000","-31,257,000","-3,940,000"
		NetIncomeIncludingNoncontrollingInterests,"-77,725,000","-46,781,000","-333,728,000","206,325,000","96,459,000","84,567,000","77,765,000","184,351,000","76,849,000","70,957,000","82,588,000","240,703,000","44,879,000","46,902,000","52,368,000","125,561,000","32,404,000","20,394,000","37,514,000","98,773,000","15,116,000","10,900,000","25,695,000","94,865,000","-34,214,000","-6,470,000","11,774,000","63,584,000","-16,857,000","-25,014,000","-5,563,000","67,945,000","-7,447,000","-31,257,000","-3,940,000"
			NetIncomeContinuousOperations,"-77,725,000","-46,781,000","-333,728,000","206,325,000","96,459,000","84,567,000","77,765,000","184,351,000","76,849,000","70,957,000","82,588,000","240,703,000","44,879,000","46,902,000","52,368,000","125,561,000","32,404,000","20,394,000","37,514,000","98,773,000","15,116,000","10,900,000","25,695,000","94,865,000","-34,214,000","-6,470,000","11,774,000","63,584,000","-16,857,000","-25,014,000","-5,563,000","67,945,000","-7,447,000","-31,257,000","-3,940,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","28,377,000","41,933,000","40,972,000","40,748,000","36,436,000","35,550,000","34,189,000"
AverageDilutionEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
